LOC,STA,STA2,STATION,NAME,LHOLD,HOLDCERT,O,NEARTOWN,COUNTY,STATE,REGION,BLOCK,LATITUDE,LONGITUDE,PRECISION,SOURCE,DATUM,DECLAT,DECLNG,NAD83,ELEV,STRATUM,BCR,HABITAT,REG,PASSED,MAP,D89,D90,D91,D92,D93,D94,D95,D96,D97,D98,Y99,D99,Y00,D00,Y01,D01,Y02,D02,Y03,D03,Y04,D04,Y05,D05,Y06,D06,Y07,D07,Y08,D08,Y09,D09,Y10,D10,Y11,D11,Y12,D12,Y13,HISTORY,YRSOP
YOSE,11107,11107U,HODG,Hodgdon Meadow,IP,+,A,El Portal,Tuolumne,CA,1,374-1195,37 47 38,-119 51 48,01S,GPS -GARMIN III,NAD83,37.79389,-119.86333,x,1408,66,15,montane meadow,X,,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,90-,23
GRAN,11108,11108U,GRAN,Grand Teton,IP,+,I,Moose,Teton,WY,1,434-1104,43 41 10,-110 45 50,10S,-,-,43.68611,-110.76389,-,2036,64,10,riparian scrub/pine-fir forest,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,1
SEKI,11109,11109U,LIME,Lion Meadow,IP,+,A,Pinehurst,Fresno/Tulare,CA,1,364-1185,36 44 43,-118 58 52,01S,Web - Google E.,NAD83,36.74528,-118.98111,x,1853,66,32,conif. for./mont. mdw./chap.,X,N01,X,,,X,X,X,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,"91-93,01-10",13
SEKI,11110,11110U,ZUME,Zumwalt Meadow,IP,+,A,Hume,Fresno,CA,1,364-1183,36 47 30,-118 35 47,01S,Web - Google E.,NAD83,36.79167,-118.59639,x,1280,66,15,rip./oak wdlnd./conif. for.,X,N01,X,,,X,X,X,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,"91-93,01-10",13
TAHO,11111,11111U,YUBA,Yuba Pass,AF,+,I,Sattley,Sierra,CA,1,393-1202,39 37 00,-120 26 30,10S,-,-,39.61667,-120.44167,-,2040,66,15,mixed coniferous forest along river,X,Y99,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,91-04,14
TAHO,11112,11112U,SNFC,Sierra Nevada,AF,+,I,Sierra City,Sierra,CA,1,393-1203,39 37 20,-120 31 30,10S,-,-,39.62222,-120.525,-,1780,66,15,mixed coniferous forest along river,X,Y99,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,91-04,14
BIGB,11113,11113U,WHBA,Whites Bar,AF,+,I,Big Bar,Trinity,CA,1,404-1231,40 40 29,-123 17 02,01S,hard copy topo,NAD27,40.67472,-123.285,x,110,93,5,Alder-willow riparian corridor,X,,X,,,X,X,X,X,X,X,X,X,,,,,,,X,X,X,X,X,X,X,X,,,X,X,X,X,X,X,X,X,X,X,X,X,X,"91-98,02-05,07-",18
TSS-,11114,11114U,TSS-,Teton Science School,IP,+,I,Kelly,Teton,WY,1,434-1103,43 40 20,-110 35 52,01S,ARC Map photo,NAD83,43.67222,-110.59778,x,2100,64,10,riparian corridor,X,Y02,X,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,91-,22
SISK,11115,11115U,BCBA,Bear Camp,AF,+,I,Agness,Curry,OR,1,423-1235,42 36 51,-123 51 04,01S,-,NAD27,42.61417,-123.85222,x,1341,93,5,wet meadow,X,Y00,x,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,91-03,13
SISK,11116,11116U,GBCR,Grayback Creek,AF,+,I,Williams,Josephine,OR,1,420-1232,42 09 00,-123 25 22,01S,-,NAD27,42.14972,-123.42389,x,634,93,5,mixed brush,X,Y00,x,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,91-05,15
