"","spcode","prob_hmsc","prob_brt","Rsq_hmsc","Rsq_brt"
"1","ACFL",0.821,0.792,0.05,0.05
"2","BRCR",0.843,0.987,0.07,0.15
"3","CACH",0.782,0.687,0.04,0.03
"4","CALT",0.874,0.967,0.15,0.21
"5","DOWO",0.991,1,0.04,0.17
"6","HAWO",0.895,0.98,0.04,0.07
"7","HUVI",0.944,0.996,0.2,0.35
"8","INBU",0.812,0.652,0.03,0.02
"9","LISP",0.752,0.8,0.08,0.08
"10","MOCH",0.809,0.587,0.11,0.08
"11","RCSP",0.613,0.585,0.15,0.15
"12","REVI",1,1,0.1,0.11
"13","SPTO",0.395,0.953,0.03,0.07
"14","TUTI",0.99,0.935,0.07,0.04
"15","WEWP",0.002,0.154,0.14,0.04
"16","WREN",0.999,0.999,0.31,0.32
"17","YBCH",0.366,0.657,0.03,0.03
